    PID TTY          TIME CMD
  49752 pts/1    00:00:08 java
  49863 pts/1    00:00:01 java
  49916 pts/1    00:00:00 sh
  49917 pts/1    00:00:00 ps
.
..
.gitignore
pom.xml
README.md
src
target
    PID TTY          TIME CMD
    634 pts/0    00:00:00 bash
   2087 pts/0    00:00:08 java
   2145 pts/0    00:00:02 java
   2172 pts/0    00:00:00 sh
   2174 pts/0    00:00:00 ps
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23236 13940 ?        Ss   14:58   0:01 /sbin/init splash
root        2043  0.0  0.0      0     0 ?        S    14:58   0:00 [psimon]
root        2051  0.0  0.0  40692 11776 ?        Ss   14:58   0:00 /usr/sbin/cupsd -l
root        2068  0.0  0.1 2467792 49176 ?       Ssl  14:58   0:01 /usr/bin/containerd
colord      2084  0.0  0.0 323148 14940 ?        Ssl  14:58   0:00 /usr/libexec/colord
root        2096  0.0  0.0  88056 20608 ?        Ss   14:58   0:00 /usr/sbin/winbindd --foreground --no-process-group
lp          2102  0.0  0.0  16832  6784 ?        S    14:58   0:00 /usr/lib/cups/notifier/dbus dbus://
root        2109  0.0  0.0  88856 15280 ?        S    14:58   0:00 winbindd: domain child [A108PC15]
cups-br+    2153  0.0  0.0 268648 19840 ?        Ssl  14:58   0:00 /usr/sbin/cups-browsed
root        2154  0.0  0.2 3762452 82520 ?       Ssl  14:58   0:01 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        2155  0.0  0.0   9812  7808 ?        Ss   14:58   0:00 socat -T 60 openssl-connect:server:789,cafile=/etc/epoptes/server.crt,openssl-no-sni,openssl-commonname="",interval=60,forever EXEC:bash -c \"exec -a epoptes-client sh\"
root        2165  0.0  0.0  12040  2560 ?        Ss   14:58   0:00 /usr/sbin/cron -f -P
root        2168  0.0  0.0   3008  2304 ?        Ss   14:58   0:00 /usr/sbin/rpc.idmapd
statd       2177  0.0  0.0   4560  1920 ?        Ss   14:58   0:00 /usr/sbin/rpc.statd
root        2180  0.0  0.0  43212  1708 ?        Ss   14:58   0:00 /usr/sbin/rpc.mountd
root        2222  0.0  0.0 380088  7012 ?        SLsl 14:58   0:00 /usr/sbin/lightdm
kernoops    2224  0.0  0.0  12744  2068 ?        Ss   14:58   0:00 /usr/sbin/kerneloops --test
kernoops    2227  0.0  0.0  12744  2332 ?        Ss   14:58   0:00 /usr/sbin/kerneloops
root        2232  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-ipmi-]
root        2237  0.0  0.0      0     0 ?        I    14:58   0:00 [lockd]
root        2256  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-iprt-]
root        2261  0.0  0.0      0     0 ?        S    14:58   0:00 [iprt-VBoxTscThread]
root        2265  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-tls-s]
root        2269  0.0  0.0   2800  1792 ?        S    14:58   0:00 epoptes-client
